species,biovolume 
Achnanthes.curtissima,27
Achnanthidium.caledonicum,96
Achnanthidium.catenatum,75.9
Achnanthidium.deflexum,42
Achnanthidium.exiguum,168
Achnanthidium.macrocephalum,35
Achnanthidium.minutissimum,76
Actinella.punctata,11354
Adlafia.bryophila,124.9
Amphipleura.kriegeriana,NA
Amphora.copulata,20096
Amphora.inariensis,268
Amphora.ovalis,52858
Amphora.pediculus,72
Amphora.thumensis,231
Amphora.veneta,3543
Anomoeoneis.costata,NA
Anomoeoneis.sphaerophora,10321.3
Asterionella.formosa,394
Asterionella.ralfsii,80
Aulacoseira.alpigena,226
Aulacoseira.ambigua,692
Aulacoseira.crassipunctata,1416
Aulacoseira.crenulata,597.74
Aulacoseira.distans,135
Aulacoseira.granulata,3291
Aulacoseira.herzogii,326.8
Aulacoseira.islandica,1901
Aulacoseira.italica,692.5
Aulacoseira.lacustris,2306.8
Aulacoseira.laevissima,NA
Aulacoseira.lirata,2841.6
Aulacoseira.nygaardii,818.5
Aulacoseira.perglabra,636.4
Aulacoseira.pfaffiana,NA
Aulacoseira.spp.,NA
Aulacoseira.subarctica,779
Aulacoseira.subborealis,53
Aulacoseira.tenella,19.64
Aulacoseira.valida,777.5
Brachysira.apiculata,NA
Brachysira.brebissonii,185
Brachysira.garrensis,81.5
Brachysira.microcephala,92
Brachysira.serians,2230.5
Brachysira.spp.,NA
Caloneis.alpestris,1694
Campylodiscus.clypeus,1356480
Campylodiscus.hibernicus,24041
Cavinula.variostriata,493.8
Chamaepinnularia.evanida,33
Chamaepinnularia.mediocris,63
Cocconeis.disculus,316
Cocconeis.peltoides,NA
Cocconeis.placentula,588.3
Coscinodiscus.spp.,334135.5
Craticula.cuspidata,2850
Cyclostephanos.dubius,942
Cyclostephanos.invisitatus,204
Cyclostephanos.tholiformis,177
Cyclotella.atomus,36
Cyclotella.comensis,75
Cyclotella.distinguenda,268
Cyclotella.meneghiniana,1356
Cyclotella.michiganiana,308.3
Cyclotella.ocellata,471
Cyclotella.rossii,260
Cyclotella.schumannii,NA
Cyclotella.tripartita,118
Cymbella.aequalis,1797
Cymbella.amphicephala,688
Cymbella.cymbiformis,2988
Cymbella.delicatula,280.02
Cymbella.diluviana,39
Cymbella.ehrenbergii,18619
Cymbella.gracilis,289.08
Cymbella.hustedtii,307
Cymbella.incerta,909
Cymbella.laevis,378.57
Cymbella.leptoceros,1162
Cymbella.mesiana,4604.3
Cymbella.spp.,NA
Cymbella.subaequalis,1676.5
Denticula.kuetzingii,337
Diadesmis.perpusilla,21.6
Diatoma.anceps,817.3
Diatoma.tenuis,615
Diploneis.marginestriata,663
Discostella.glomerata,1.24
Discostella.pseudostelligera,67
Discostella.stelligera,895
Discostella.stelligeroides,NA
Discostella.woltereckii,77
Ellerbeckia.arenaria,9914
Encyonema.gaeumanii,228
Encyonema.gracile,NA
Encyonema.hebridicum,1357.7
Encyonema.lunatum,418
Encyonema.minutum,213
Encyonema.paucistriatum,NA
Encyonema.perpusillum,132
Encyonema.silesiacum,821
Encyonopsis.cesatii,679
Encyonopsis.delicatissima,48.75
Encyonopsis.descripta,47.12
Encyonopsis.evergladianum,124.4
Encyonopsis.falaisensis,294
Encyonopsis.microcephala,304
Encyonopsis.subminuta,62
Epithemia.adnata,1243.3
Epithemia.sorex,1681.61
Eunotia.bidentula,NA
Eunotia.bilunaris,617
Eunotia.carolina,835.6
Eunotia.exigua,91
Eunotia.fallax,597.7
Eunotia.flexuosa,6714.63
Eunotia.formica,12954
Eunotia.hemicyclus,NA
Eunotia.hexaglyphis,NA
Eunotia.incisa,850
Eunotia.intermedia,258
Eunotia.minor,755
Eunotia.naegelii,630.44
Eunotia.pectinalis,4219
Eunotia.pirla,725.08
Eunotia.praerupta,6064
Eunotia.rabenhorstii,1302.5
Eunotia.rhomboidea,251.26
Eunotia.septentrionalis,1519
Eunotia.soleirolii,1755.69
Eunotia.spp.,NA
Eunotia.sudetica,828
Eunotia.zasuminensis,76.6
Fallacia.omissa,142.4
Fallacia.subhamulata,129.84
Fragilaria.acidobiontica,NA
Fragilaria.capucina,518.31
Fragilaria.crotonensis,470
Fragilaria.cyclopum,NA
Fragilaria.microstriata,57.4
Fragilaria.neoproducta,286
Fragilaria.nitzschioides,971.6
Fragilaria.sepes,766.1
Fragilaria.spp.,NA
Fragilaria.tenera,201
Fragilaria.vaucheriae,1835.75
Fragilariaceae.spp.,NA
Fragilariforma.constricta,1105
Fragilariforma.spinulosa,NA
Fragilariforma.virescens,2241.26
Frustulia.amphipleuroides,9939.06
Frustulia.crassinervia,2186.45
Frustulia.krammeri,9524.87
Frustulia.pseudomagaliesmontana,1327.6
Frustulia.saxonica,2072
Frustulia.vulgaris,1625
Geissleria.acceptata,392.5
Geissleria.ignota,163
Gomphonema.angustatum,488
Gomphonema.angustum,1301
Gomphonema.apuncto,526.56
Gomphonema.clavatum,1384
Gomphonema.dichotomum,884.67
